"month","country","monthly_rev"
"2010-12-01 00:00:00","United Kingdom","$483,799.74"
"2010-12-01 00:00:00","Germany","$14,562.84"
"2010-12-01 00:00:00","France","$9,575.36"
"2010-12-01 00:00:00","Netherlands","$8,784.48"
"2010-12-01 00:00:00","EIRE","$7,825.57"
"2010-12-01 00:00:00","Japan","$7,705.07"
"2010-12-01 00:00:00","Norway","$3,787.12"
"2010-12-01 00:00:00","Sweden","$2,646.30"
"2010-12-01 00:00:00","Portugal","$2,380.12"
"2010-12-01 00:00:00","Spain","$1,843.73"
"2010-12-01 00:00:00","Belgium","$1,809.91"
"2010-12-01 00:00:00","Lithuania","$1,661.06"
"2010-12-01 00:00:00","Cyprus","$1,590.82"
"2010-12-01 00:00:00","Switzerland","$1,304.92"
"2010-12-01 00:00:00","Denmark","$1,281.50"
"2010-12-01 00:00:00","Australia","$1,005.10"
"2010-12-01 00:00:00","Finland","$892.80"
"2010-12-01 00:00:00","Italy","$794.50"
"2010-12-01 00:00:00","Iceland","$711.79"
"2010-12-01 00:00:00","Channel Islands","$363.53"
"2010-12-01 00:00:00","Austria","$257.04"
"2010-12-01 00:00:00","Poland","$248.16"
"2010-12-01 00:00:00","Israel","-$227.44"
"2011-01-01 00:00:00","United Kingdom","$351,981.28"
"2011-01-01 00:00:00","Netherlands","$26,611.16"
"2011-01-01 00:00:00","EIRE","$21,671.52"
"2011-01-01 00:00:00","France","$17,503.07"
"2011-01-01 00:00:00","Germany","$16,451.43"
"2011-01-01 00:00:00","Australia","$9,017.71"
"2011-01-01 00:00:00","Spain","$7,178.54"
"2011-01-01 00:00:00","Switzerland","$4,231.23"
"2011-01-01 00:00:00","Portugal","$3,998.11"
"2011-01-01 00:00:00","Sweden","$3,446.32"
"2011-01-01 00:00:00","Greece","$2,661.24"
"2011-01-01 00:00:00","Italy","$2,361.36"
"2011-01-01 00:00:00","Singapore","$2,053.07"
"2011-01-01 00:00:00","Lebanon","$1,693.88"
"2011-01-01 00:00:00","Belgium","$1,154.05"
"2011-01-01 00:00:00","Finland","$889.02"
"2011-01-01 00:00:00","Channel Islands","$645.08"
"2011-01-01 00:00:00","Poland","$613.22"
"2011-01-01 00:00:00","Cyprus","$547.50"
"2011-01-01 00:00:00","Iceland","$475.39"
"2011-01-01 00:00:00","Japan","-$109.80"
"2011-02-01 00:00:00","United Kingdom","$348,853.63"
"2011-02-01 00:00:00","Netherlands","$22,932.11"
"2011-02-01 00:00:00","Australia","$14,627.47"
"2011-02-01 00:00:00","Germany","$8,969.24"
"2011-02-01 00:00:00","France","$8,438.91"
"2011-02-01 00:00:00","EIRE","$7,551.92"
"2011-02-01 00:00:00","Japan","$5,780.81"
"2011-02-01 00:00:00","Cyprus","$4,013.55"
"2011-02-01 00:00:00","Switzerland","$2,642.67"
"2011-02-01 00:00:00","Belgium","$2,161.32"
"2011-02-01 00:00:00","Spain","$2,093.70"
"2011-02-01 00:00:00","Channel Islands","$1,784.71"
"2011-02-01 00:00:00","Portugal","$1,213.90"
"2011-02-01 00:00:00","United Arab Emirates","$889.24"
"2011-02-01 00:00:00","Israel","$779.10"
"2011-02-01 00:00:00","Norway","$630.90"
"2011-02-01 00:00:00","Poland","$604.05"
"2011-02-01 00:00:00","Czech Republic","$549.26"
"2011-02-01 00:00:00","Austria","$518.36"
"2011-02-01 00:00:00","Sweden","$509.50"
"2011-02-01 00:00:00","Denmark","$399.22"
"2011-02-01 00:00:00","Italy","$251.50"
"2011-02-01 00:00:00","Finland","$205.16"
"2011-02-01 00:00:00","Saudi Arabia","$145.92"
"2011-03-01 00:00:00","United Kingdom","$456,917.87"
"2011-03-01 00:00:00","Netherlands","$22,416.49"
"2011-03-01 00:00:00","EIRE","$18,270.28"
"2011-03-01 00:00:00","Australia","$17,055.29"
"2011-03-01 00:00:00","France","$14,516.90"
"2011-03-01 00:00:00","Germany","$14,170.02"
"2011-03-01 00:00:00","Finland","$5,924.62"
"2011-03-01 00:00:00","Spain","$5,326.65"
"2011-03-01 00:00:00","Sweden","$4,540.58"
"2011-03-01 00:00:00","Denmark","$3,978.99"
"2011-03-01 00:00:00","Channel Islands","$3,509.33"
"2011-03-01 00:00:00","Belgium","$3,333.58"
"2011-03-01 00:00:00","Portugal","$2,660.85"
"2011-03-01 00:00:00","Switzerland","$1,870.23"
"2011-03-01 00:00:00","Italy","$1,778.91"
"2011-03-01 00:00:00","Austria","$1,708.12"
"2011-03-01 00:00:00","Cyprus","$938.39"
"2011-03-01 00:00:00","Greece","$387.31"
"2011-03-01 00:00:00","Norway","$304.68"
"2011-03-01 00:00:00","Poland","$303.39"
"2011-03-01 00:00:00","Canada","$140.54"
"2011-03-01 00:00:00","Saudi Arabia","-$14.75"
"2011-03-01 00:00:00","Japan","-$73.66"
"2011-04-01 00:00:00","United Kingdom","$376,744.41"
"2011-04-01 00:00:00","Germany","$11,963.37"
"2011-04-01 00:00:00","EIRE","$7,570.50"
"2011-04-01 00:00:00","Japan","$4,871.83"
"2011-04-01 00:00:00","France","$4,195.21"
"2011-04-01 00:00:00","Netherlands","$2,976.56"
"2011-04-01 00:00:00","Singapore","$2,118.74"
"2011-04-01 00:00:00","Belgium","$1,954.15"
"2011-04-01 00:00:00","Switzerland","$1,822.19"
"2011-04-01 00:00:00","Spain","$1,785.65"
"2011-04-01 00:00:00","Portugal","$1,687.75"
"2011-04-01 00:00:00","Finland","$1,626.81"
"2011-04-01 00:00:00","Brazil","$1,143.60"
"2011-04-01 00:00:00","Sweden","$809.10"
"2011-04-01 00:00:00","Italy","$737.83"
"2011-04-01 00:00:00","Poland","$705.84"
"2011-04-01 00:00:00","Austria","$680.78"
"2011-04-01 00:00:00","Iceland","$636.25"
"2011-04-01 00:00:00","Greece","$609.74"
