"description","total_quantity","total_revenue","avg_unitprice","total_profit"
"PAPER CRAFT , LITTLE BIRDIE",80995,"$168,469.60",2.0800000000000000,"$13,645,026,782.40"
"MEDIUM CERAMIC TOP STORAGE JAR",77916,"$81,416.73",1.2203030303030303,"$5,728,415,560.34"
"WORLD WAR 2 GLIDERS ASSTD DESIGNS",54415,"$13,586.25",0.29260042283298097252,"$11,696,363.70"
"JUMBO BAG RED RETROSPOT",46181,"$85,220.78",2.0158776266996292,"$14,808,816.84"
"WHITE HANGING HEART T-LIGHT HOLDER",36725,"$100,448.15",2.8931065088757396,"$32,947,447.06"
"ASSORTED COLOUR BIRD ORNAMENT",35362,"$56,580.34",1.6807954545454545,"$18,453,203.22"
"PACK OF 72 RETROSPOT CAKE CASES",33693,"$16,394.53",0.54821161048689138577,"$4,129,829.80"
"POPCORN HOLDER",30931,"$23,427.71",0.84327245053272450533,"$12,806,524.72"
"RABBIT NIGHT LIGHT",27202,"$51,346.20",2.0139429928741093,"$31,331,293.10"
"MINI PAINT SET VINTAGE ",26076,"$16,039.24",0.65652307692307692308,"$5,594,342.66"
"PACK OF 12 LONDON TISSUES ",25345,"$7,266.71",0.32612090680100755668,"$3,497,622.08"
"PACK OF 60 PINK PAISLEY CAKE CASES",24264,"$11,629.70",0.55139941690962099125,"$5,317,207.02"
"BROCADE RING PURSE ",22963,"$5,980.05",0.32009569377990430622,"$2,593,998.18"
"VICTORIAN GLASS HANGING T-LIGHT",22433,"$28,776.51",1.4312121212121212,"$3,513,665.82"
"ASSORTED COLOURS SILK FAN",21876,"$16,044.44",0.80501538461538461538,"$7,170,775.38"
"RED  HARMONICA IN BOX ",20975,"$23,793.93",1.2611463844797178,"$14,063,799.08"
"JUMBO BAG PINK POLKADOT",20165,"$37,289.59",2.0186067415730337,"$5,260,795.44"
"SMALL POPCORN HOLDER",18252,"$13,798.72",0.83291970802919708029,"$15,279,683.04"
"LUNCH BAG RED RETROSPOT",17697,"$28,048.45",1.6589665653495441,"$1,243,415.60"
"60 TEATIME FAIRY CAKE CASES",17689,"$8,618.37",0.54821997105643994211,"$1,334,552.54"
"JUMBO BAG STRAWBERRY",16807,"$30,644.20",2.0072138554216867,"$4,842,200.72"
"HEART OF WICKER SMALL",16775,"$28,228.64",1.6394923857868020,"$8,197,385.54"
"GROW A FLYTRAP OR SUNFLOWER IN TIN",15940,"$17,226.20",1.2353974895397490,"$14,913,126.78"
"PAPER CHAIN KIT 50'S CHRISTMAS ",15617,"$42,660.83",2.9372031403336605,"$5,629,553.64"
"COLOUR GLASS T-LIGHT HOLDER HANGING",15611,"$9,597.71",0.64839552238805970149,"$709,279.86"
"PARTY BUNTING",15291,"$68,844.33",4.8763753581661891,"$3,126,951.98"
"JAM MAKING SET PRINTED",15055,"$21,170.75",1.4715885714285714,"$1,748,109.08"
"PLACE SETTING WHITE HEART",14877,"$5,922.27",0.42979797979797979798,"$1,495,232.72"
"60 CAKE CASES VINTAGE CHRISTMAS",14735,"$7,417.85",0.54264646464646464646,"$963,774.80"
"PACK OF 72 SKULL CAKE CASES",14309,"$6,859.31",0.54068493150684931507,"$1,287,844.42"
"SPACEBOY LUNCH BOX ",13919,"$24,694.59",1.9311666666666667,"$3,251,618.70"
"JUMBO BAG APPLES",13887,"$26,451.26",2.0620523415977961,"$2,594,295.72"
"VINTAGE SNAP CARDS",13336,"$10,447.42",0.85153532608695652174,"$792,220.02"
"SMALL CHINESE STYLE SCISSOR",13328,"$4,335.76",0.40148148148148148148,"$7,321,372.96"
"72 SWEETHEART FAIRY CAKE CASES",13070,"$6,274.90",0.55593220338983050847,"$1,667,382.88"
"ANTIQUE SILVER T-LIGHT GLASS",12973,"$15,206.42",1.2428280961182994,"$967,109.86"
"RED TOADSTOOL LED NIGHT LIGHT",12871,"$19,844.91",1.6594953271028037,"$2,693,538.96"
"RED RETROSPOT CHARLOTTE BAG",12809,"$10,125.85",0.84930758988015978695,"$675,444.64"
"JUMBO  BAG BAROQUE BLACK WHITE",12793,"$23,675.04",2.0122306525037936,"$2,165,372.10"
"DISCO BALL CHRISTMAS DECORATION",12714,"$1,408.56",0.11851063829787234043,"$351,861.60"
"JUMBO BAG ALPHABET",12540,"$24,175.00",2.0583574244415243,"$1,911,217.30"
"GIRLS ALPHABET IRON ON PATCHES ",12480,"$2,332.80",0.20166666666666666667,"$2,075,690.88"
"REGENCY CAKESTAND 3 TIER",12402,"$142,592.95",12.4834010446894951,"$5,486,966.52"
"SET/20 RED RETROSPOT PAPER NAPKINS ",12313,"$9,656.79",0.83911022576361221780,"$517,816.08"
"PACK OF 60 DINOSAUR CAKE CASES",12134,"$5,934.68",0.55840989399293286219,"$1,084,682.64"
"HOMEMADE JAM SCENTED CANDLES",12092,"$17,521.60",1.4507321772639692,"$5,350,695.82"
"PLEASE ONE PERSON METAL SIGN",11963,"$23,930.92",2.0726647966339411,"$1,941,214.78"
"BUBBLEGUM RING ASSORTED",11891,"$4,894.83",0.42925233644859813084,"$607,764.84"
"SET OF 4 PANTRY JELLY MOULDS",11792,"$14,180.17",1.2569092945128779,"$637,376.78"
"TRAVEL CARD WALLET KEEP CALM",11769,"$4,693.40",0.42767857142857142857,"$845,403.38"
"SET OF 60 PANTRY DESIGN CAKE CASES ",11675,"$5,982.09",0.55616257088846880907,"$666,103.76"
"LUNCH BAG APPLE DESIGN",11565,"$18,278.25",1.6415083798882682,"$947,565.60"
"GIN + TONIC DIET METAL SIGN",11519,"$24,988.98",2.4626506024096386,"$15,024,857.22"
"JUMBO STORAGE BAG SUKI",11516,"$21,790.95",2.0288888888888889,"$1,176,766.48"
"BLACK RECORD COVER FRAME",11406,"$39,064.55",3.6605362776025237,"$10,234,338.30"
"DOLLY GIRL LUNCH BOX",11336,"$20,129.44",1.9508805031446541,"$2,966,155.66"
"LUNCH BAG  BLACK SKULL.",11291,"$18,024.55",1.6438461538461538,"$625,292.60"
"LUNCH BOX I LOVE LONDON",11094,"$19,353.22",1.9271077504725898,"$2,837,175.06"
"HANGING HEART JAR T-LIGHT HOLDER",10980,"$12,674.72",1.2280378657487091,"$559,651.92"
"LUNCH BAG CARS BLUE",10820,"$17,265.68",1.6568756319514661,"$665,791.76"
"JUMBO BAG VINTAGE LEAF",10716,"$20,963.93",2.0784015345268542,"$1,087,355.40"
"JUMBO BAG VINTAGE DOILY ",10636,"$20,674.68",2.0620977917981073,"$1,668,446.36"
"RED RETROSPOT WRAP ",10547,"$4,320.74",0.41803571428571428571,"$294,844.24"
"HANGING JAM JAR T-LIGHT HOLDER",10528,"$8,164.12",0.82868167202572347267,"$666,723.20"
"JUMBO SHOPPER VINTAGE RED PAISLEY",10518,"$20,174.23",2.0374844333748443,"$1,009,649.68"
"JUMBO BAG OWLS",10466,"$19,076.92",2.0192874109263658,"$2,895,136.86"
"ASSORTED FLOWER COLOUR ""LEIS""",10297,"$4,871.45",0.61873786407766990291,"$2,354,998.30"
"MULTI COLOUR SILVER T-LIGHT HOLDER",10279,"$8,269.45",0.85384615384615384615,"$835,871.58"
"LUNCH BAG PINK POLKADOT",10254,"$16,349.50",1.6517136886102403,"$597,495.78"
"PINK BLUE FELT CRAFT TRINKET BOX",10225,"$11,629.39",1.2695085470085470,"$6,013,968.94"
"COOK WITH WINE METAL SIGN ",10209,"$20,315.33",2.0389885807504078,"$2,028,411.02"
"AGED GLASS SILVER T-LIGHT HOLDER",10088,"$6,083.20",0.63954703832752613240,"$579,019.40"
"FAIRY CAKE FLANNEL ASSORTED COLOUR",10082,"$17,304.57",1.4016751269035533,"$41,046,382.98"
"LUNCH BAG SPACEBOY DESIGN ",9912,"$15,881.20",1.6556746031746032,"$607,864.36"
"JUMBO BAG PINK VINTAGE PAISLEY",9889,"$18,429.98",2.0409405940594059,"$1,427,478.16"
"WOODEN HEART CHRISTMAS SCANDINAVIAN",9784,"$3,416.48",0.42291666666666666667,"$162,643.04"
"DOUGHNUT LIP GLOSS ",9662,"$11,640.70",1.2418446601941748,"$786,244.30"
"CHILLI LIGHTS",9650,"$46,286.51",5.4287595419847328,"$5,106,581.54"
"WOODEN STAR CHRISTMAS SCANDINAVIAN",9630,"$3,165.22",0.37940397350993377483,"$198,212.40"
